CID,TABCD,LCD,CLASS,TCD,STCD,JUNCTIONNUMBER,RNID,N1ID,N2ID,POL_LCD,OTH_LCD,SEG_LCD,ROA_LCD,INPOS,INNEG,OUTPOS,OUTNEG,PRESENTPOS,PRESENTNEG,DIVERSIONPOS,DIVERSIONNEG,XCOORD,YCOORD,INTERRUPTSROAD,URBAN,JNID
25,1,23984,P,1,11,,62513,51991,,101,,,23979,1,1,1,1,1,1,,,1156495,4270027,,0,
25,1,21729,P,1,11,,,12177,,41888,,,21727,1,1,1,1,1,1,,,1137296,4360301,,0,
25,1,33702,P,1,11,,11985,53241,,120,,,33696,1,1,1,1,1,1,,,1239219,4479623,,0,
25,1,3594,P,1,11,,62397,26937,,41882,,,287,1,1,1,1,1,1,,,1401732,4094118,,0,
25,1,35394,P,1,11,,70911,48163,,114,,,35391,1,1,1,1,1,1,,,1235926,4251491,,0,
25,1,27271,P,1,11,,60911,13737,,41865,,,27270,1,1,1,1,1,1,,,1426638,4085476,,0,
25,1,11482,P,1,11,,62637,6821,,41891,,,890,1,1,1,1,1,1,,,1292614,4596871,,0,
25,1,36457,P,1,11,,,70179,,111,,,36449,1,1,1,1,1,1,,,1146043,4614726,,0,
25,1,35520,P,1,11,,55249,71895,,41878,,,35516,1,1,1,1,1,1,,,778747,4495668,,0,
25,1,3729,P,1,11,,19255,2227,,72,,,296,1,1,1,1,1,1,,,859666,4491900,,0,
25,1,44040,P,1,10,,24121,71177,,41864,,,44038,1,1,1,1,1,1,,,1254268,4190876,,1,
25,1,3823,P,1,11,,53489,38523,,41878,,,297,1,1,1,1,1,1,,,785961,4518482,,0,
25,1,4373,P,1,11,,4695,75687,,80,,,308,1,1,1,1,1,1,,,1589563,4128082,,0,
25,1,36062,P,1,11,,73723,27533,,41878,,,36055,1,1,1,1,1,1,,,795128,4538377,,0,
25,1,25565,P,1,11,,,36047,,62,,,25558,1,1,1,1,1,1,,,1351710,4320749,,0,
25,1,39940,P,1,11,,48687,34457,,41,,,39938,1,1,1,1,1,1,,,1201328,4252805,,0,
25,1,10806,P,1,11,,31747,2421,,102,,,816,1,1,1,1,1,1,,,1055372,4296816,,0,
25,1,43336,P,1,11,,24197,36931,,41864,,,43334,1,1,1,1,1,1,,,1241220,4186894,,1,
25,1,40781,P,1,11,,8291,60391,,41867,,,40707,1,1,1,1,1,1,,,914289,4547888,,0,
25,1,12801,P,1,11,,27753,1083,,66,,,1058,1,1,1,1,1,1,,,1401159,4159002,,0,
25,1,28176,P,1,11,,,56121,,86,,,28174,1,1,1,1,1,1,,,884608,4004622,,0,
25,1,45171,P,1,11,,11343,22355,,53,,,45155,1,1,1,1,1,1,,,932747,4575028,,0,
25,1,7970,P,1,11,,42769,5291,,41882,,,529,1,1,1,1,1,1,,,1448300,4074049,,0,
25,1,30186,P,1,11,,4751,56379,,113,,,30182,1,1,1,1,1,1,,,1265810,4283094,,0,
25,1,36755,P,1,11,,50585,43937,,121,,,36754,1,1,1,1,1,1,,,1239957,4572726,,0,
25,1,6973,P,1,11,,7461,32111,,13,,,461,1,1,1,1,1,1,,,1706779,3901225,,0,
25,1,42588,P,1,11,,52187,44645,,41867,,,42586,1,1,1,1,1,1,,,912535,4542618,,0,
25,1,43689,P,1,11,,74349,28639,,41864,,,43687,1,1,1,1,1,1,,,1257722,4188116,,1,
25,1,6354,P,1,11,,66643,7817,,113,,,420,1,1,1,1,1,1,,,1280603,4297406,,0,
25,1,42163,P,1,11,,4695,23719,,80,,,308,1,1,1,1,1,1,,,1528162,4186020,,0,
25,1,29792,P,1,11,,,69211,,56,,,29786,1,1,1,1,1,1,,,927790,4522483,,0,
25,1,17350,P,1,11,,,73483,,17,,,17347,1,1,1,1,1,1,,,1463736,4120863,,0,
25,1,42151,P,1,11,,27921,68329,,41884,,,26871,1,1,1,1,1,1,,,922990,4554709,,0,
25,1,21160,P,1,11,,,22443,,74,,,21157,1,1,1,1,1,1,,,741314,4447788,,0,
25,1,3837,P,1,11,,53489,37521,,70,,,297,1,1,1,1,1,1,,,838750,4532409,,0,
25,1,10390,P,1,11,,49111,52685,,124,,,764,1,1,1,1,1,1,,,1140536,4579120,,0,
25,1,28647,P,1,11,,,64465,,119,,,28646,1,1,1,1,1,1,,,1162131,4521561,,0,
25,1,36462,P,1,11,,,41425,,111,,,36460,1,1,1,1,1,1,,,1093984,4573278,,0,
25,1,28479,P,1,11,,,22977,,119,,,28472,1,1,1,1,1,1,,,1210218,4526768,,0,
25,1,37172,P,1,11,,13755,4411,,121,,,37163,1,1,1,1,1,1,,,1230741,4597643,,0,
25,1,12284,P,1,11,,50461,65005,,118,,,988,1,1,1,1,1,1,,,1199242,4643911,,0,
25,1,39936,P,1,11,,41801,39379,,41,,,39933,1,1,1,1,1,1,,,1240135,4227228,,0,
25,1,22730,P,1,11,,,30765,,80,,,22725,1,1,1,1,1,1,,,1590060,4151874,,0,
25,1,15242,P,1,11,,49767,12485,,60,,,15239,1,1,1,1,1,1,,,1317374,4374581,,0,
25,1,31282,P,1,11,,71743,71501,,33,,,31281,1,1,1,1,1,1,,,1262203,4620153,,0,
25,1,30906,P,1,11,,50313,38689,,27,,,30897,1,1,1,1,1,1,,,990942,4491125,,0,
25,1,16021,P,1,11,,66951,44229,,41890,,,16018,1,1,1,1,1,1,,,1348784,4312063,,0,
25,1,39228,P,1,11,,75265,14505,,123,,,39227,1,1,1,1,1,1,,,1086185,4549908,,0,
25,1,40580,P,1,11,,353,49887,,41866,,,40579,1,1,1,1,1,1,,,1135284,4450217,,0,
25,1,34446,P,1,11,,20425,59487,,108,,,34443,1,1,1,1,1,1,,,1144879,4312468,,0,
25,1,8145,P,1,11,,56085,20139,,20,,,550,1,1,1,1,1,1,,,1462526,4065096,,0,
25,1,34914,P,1,11,,,66749,,82,,,34910,1,1,1,1,1,1,,,1724449,4039933,,0,
25,1,45140,P,1,11,,42273,19877,,41886,,,45134,1,1,1,1,1,1,,,863795,3901916,,0,
25,1,31981,P,1,11,,9617,53443,,28,,,31974,1,1,1,1,1,1,,,1196702,4440643,,0,
25,1,42716,P,1,11,,9161,69621,,41867,,,42715,1,1,1,1,1,1,,,904978,4554892,,0,
25,1,18129,P,1,11,,63971,51229,,41883,,,18123,1,1,1,1,1,1,,,1105757,4420449,,0,
25,1,21945,P,1,11,,48929,62959,,41888,,,21944,1,1,1,1,1,1,,,1118095,4388360,,0,
25,1,35637,P,1,11,,40995,59691,,41878,,,35636,1,1,1,1,1,1,,,767197,4500029,,0,
25,1,43794,P,1,10,,40219,22369,,41864,,,43792,1,1,1,1,1,1,,,1257090,4185601,,1,
25,1,22939,P,1,11,,,20351,,37,,,22935,1,1,1,1,1,1,,,1341385,4156465,,0,
25,1,39399,P,1,11,,,35035,,15,,,39396,1,1,1,1,1,1,,,1589488,3865708,,0,
25,1,40651,P,1,11,,18129,58957,,41867,,,40624,1,1,1,1,1,1,,,917687,4547674,,0,
